2017-01-25 17:13:35,045 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-01-25 17:16:10,779 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-01-25 17:29:11,169 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-02-06 13:11:06,289 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-08 00:18:40,433 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-08 12:53:03,548 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-08 17:49:00,993 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-02-18 00:09:30,316 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-02-21 11:28:50,367 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-21 22:01:26,491 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-22 00:08:20,120 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-02-22 12:58:14,828 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-22 14:18:57,043 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-02-24 16:06:25,876 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-24 17:09:44,683 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @472145ms
2017-02-24 17:09:44,764 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-02-24 17:09:44,796 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@1c62878f{/help,null,AVAILABLE}
2017-02-24 17:09:44,815 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@21bb6dd8{HTTP/1.1}{127.0.0.1:14739}
2017-02-24 17:09:44,816 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @472279ms
2017-02-24 17:11:23,599 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2017-02-24 21:30:39,325 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@21bb6dd8{HTTP/1.1}{127.0.0.1:0}
2017-02-24 21:30:39,336 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@1c62878f{/help,null,UNAVAILABLE}
2017-02-24 22:21:34,803 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-24 22:37:46,738 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @1031224ms
2017-02-24 22:37:47,213 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.2.13.v20150730
2017-02-24 22:37:47,338 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@86afaa{/help,null,AVAILABLE}
2017-02-24 22:37:47,385 [Start Help Server] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@1ad76d3{HTTP/1.1}{127.0.0.1:57361}
2017-02-24 22:37:47,385 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @1031870ms
2017-02-24 23:17:47,698 [Stop Help Server] INFO  o.e.jetty.server.ServerConnector - Stopped ServerConnector@1ad76d3{HTTP/1.1}{127.0.0.1:0}
2017-02-24 23:17:47,729 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@86afaa{/help,null,UNAVAILABLE}
2017-02-27 11:07:40,208 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is out-of-date. Remote download required.
2017-02-27 12:55:10,609 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
